counterparty_name,classification,notional_usd_summed,matched_pattern
Banco Santander S.A,BILATERAL,3215460000,
ASX - Trade24,BILATERAL,3207817475,
Singapore Exchange Derivatives Clearing Ltd.,BILATERAL,3089795221,
Singapore Exchange Derivatives Clearing,BILATERAL,3087543392,
BANK OF AMERICA MERRILL LYNCH,BILATERAL,2972465451,
"HSBC Securities USA, Inc.",BILATERAL,2954001914,
Deutsche Bank Securities Inc,BILATERAL,2938817024,
Natixis Securities,BILATERAL,2933120672,
Asx - Trade24,BILATERAL,2885665896,
National Australia Bank Limited,BILATERAL,2867010178,
Euronext N.V.,BILATERAL,2852709701,
CITADEL SECURITIES SWAP DEALER LLC,BILATERAL,2842855200,
J.P. Morgan Securities PLC,BILATERAL,2833663492,
Marex Prime Services Limited,BILATERAL,2831534571,
UBS Ltd.,BILATERAL,2786559964,
Nomura Global Financial Products Inc.,BILATERAL,2605472926,
Borsa Italiana (IDEM),BILATERAL,2568047094,
ICE Clear Credit,CCP,2544507745,ICE Clear
Cargill Inc,BILATERAL,2539511783,
Commonwealth Bank of Australia,BILATERAL,2432707536,
Clear Street Derivates LLC,BILATERAL,2365251122,
Credit Agricole Corporate and Investment Bank,BILATERAL,2258098600,
HKCC & SEOCH,BILATERAL,2215004758,
NATIONAL BANK OF CANADA FINANCIAL INC.,BILATERAL,2199321666,
Royal Bank of Scotland PLC,BILATERAL,2123483716,
Morgan Stanley & Co. Incorporated,BILATERAL,2100000000,
MORGAN STANLEY CAPITAL SERVICES INC,BILATERAL,2086944039,
"WELLS FARGO BANK, N.A.",BILATERAL,2080924710,
USBANK,BILATERAL,2009117293,
Cantor Fitzgerald,BILATERAL,1942848401,
MACQUARIE GROUP LIMITED,BILATERAL,1940000000,
NASDAQ OMX Commodities Clearing,BILATERAL,1933665841,
National Austrailia Bank Limited,BILATERAL,1927665047,
"RBC Dominion Securities, Inc.",BILATERAL,1869458405,
Nomura International plc,BILATERAL,1792968127,
ICBC Standard Bank PLC,BILATERAL,1737911737,
BNP PARIBAS (SUISSE) SA,BILATERAL,1718587724,
CITADEL SECURITIES LLC,BILATERAL,1700101093,
RBC CAPITAL MARKETS CORP/RBCCM,BILATERAL,1684491476,
Lloyds Bank,BILATERAL,1656281111,
JP MORGAN,BILATERAL,1490894734,
State Street,BILATERAL,1485743160,
Citigroup Global Markets Inc,BILATERAL,1451217906,
Credit Agricole CIB,BILATERAL,1435795734,
DEUTSCHE BANK,BILATERAL,1400795358,
MORGAN STANLEY AND CO. INT'L LIMITED,BILATERAL,1360848498,
"STATE STREET GLOBAL MARKETS, LLC",BILATERAL,1307412622,
CITIGROUP,BILATERAL,1263412271,
INTERACTIVE BROKERS LLC,BILATERAL,1258319321,
Barclays Capital Securities Limited,BILATERAL,1213976739,
State Street Bank International GmbH,BILATERAL,1177261615,
"Merrill Lynch, Pierce, Fenner & Smith Incorporated",BILATERAL,1158802438,
The Bank of Nova Scotia,BILATERAL,1155008957,
STATE STREET GLOBAL MARKETS LLC,BILATERAL,1154996511,
Standard Chartered Bank (Thai) Public Company Limited,BILATERAL,1154361870,
Credit Suisse Group AG,BILATERAL,1101678717,
JSE Clear,BILATERAL,1060684333,
"HSBC Securities, Inc.",BILATERAL,1052154990,
ASX CLEARING CORPORATION LIMITED,CCP,1017975294,ASX CLEAR
Euronext NV,BILATERAL,1003451434,
CBOE Futures Exchange LLC,BILATERAL,966366134,
Macquarie Securities,BILATERAL,956502706,
HSBC Bank Co. Ltd.,BILATERAL,948638093,
BNP PARIBAS SECURITIES CORPORATION,BILATERAL,933322220,
NATIXIS SECURITIES AMERICAS LLC,BILATERAL,931269027,
Merrill Lynch,BILATERAL,922058135,
BNP Paribas Securities Services,BILATERAL,911421463,
Regions Bank,BILATERAL,900000000,
Capital Securities Corp.,BILATERAL,895812551,
JANE STREET EXECUTION SERVICES LLC,BILATERAL,884876838,
UBS FINANCIAL SERVICES INC.,BILATERAL,870871485,
Citibank AG,BILATERAL,870335281,
EUROPEAN ENERGY DERIVATIVES EXCHANGE N.V.,BILATERAL,859758330,
ASX,BILATERAL,831184199,
BANK OF NY JAMES CAPEL ADR,BILATERAL,820264671,
BORSA ITALIANA S.P.A.,BILATERAL,806654378,
Clearing Company (Thailand),BILATERAL,797735716,
ASX - SYDNEY FUTURES EXCHANGE LIMITED,BILATERAL,779370751,
WELLS FARGO SECURITIES LLC,BILATERAL,770575955,
Bank of America Merrill Lynch International Limited,BILATERAL,768185538,
NSE Clearing Ltd.,BILATERAL,756693185,
Credit Suisse AG,BILATERAL,737419481,
CREDIT AGRICOLE,BILATERAL,716536468,
GOLDMAN SACHS,BILATERAL,691276680,
Euronext Paris Matif,BILATERAL,684942089,
"BTIG, LLC",BILATERAL,668864051,
"Merrill Lynch Capital Services, Inc.",BILATERAL,657624709,
"NOMURA SECURITIES INTERNATIONAL, INC.",BILATERAL,657431784,
BofA Securities Europe SA,BILATERAL,653211995,
"MORGAN STANLEY AND CO., LLC",BILATERAL,649474195,
NSE IFSC,BILATERAL,644884789,
Scotiabank,BILATERAL,632366448,
Bannockburn Global Forex,BILATERAL,626727247,
NYSE Euronext - Euronext Paris,BILATERAL,622875036,
MIZUHO CAPITAL MARKETS LLC,BILATERAL,622185329,
TD Cowen Financial Products LLC,BILATERAL,589930209,
Cargill India Private Limited,BILATERAL,588343541,
Euronext Derivatives Amsterdam,BILATERAL,578806153,
Northern Trust Co.,BILATERAL,578564657,
"GOLDMAN, SACHS & CO",BILATERAL,568972399,
BARCLAYS CAPITAL,BILATERAL,566728195,
State Street Custodial Services Ireland Ltd.,BILATERAL,541795125,
JEFFERIES LLC,BILATERAL,533745230,
BNP PARIBAS SECURITIES (ASIA) LIMITED,BILATERAL,522722300,
Royal Bank of Scotland,BILATERAL,519949336,
J.P. Morgan Clearing Corp.,BILATERAL,518493362,
